wavelength_nm,R
8.534805056079756014e+02,2.852821949497514817e-02
8.524182076813652884e+02,2.928852796456317756e-02
8.513585508790621361e+02,5.275123109015605188e-02
8.503015253636039006e+02,8.844105391560451446e-02
8.492471213463239792e+02,1.256552698660563239e-01
8.481953290870485489e+02,1.563505435465305793e-01
8.471461388937974561e+02,1.756691045976432053e-01
8.460995411224847658e+02,1.813288678026301892e-01
8.450555261766259036e+02,1.730391188964212346e-01
8.440140845070419573e+02,1.525174752114365206e-01
8.429752066115701155e+02,1.242175531266100919e-01
8.419388830347731982e+02,9.633892109781269641e-02
8.409051043676546442e+02,8.075471335363448855e-02
8.398738612473719058e+02,8.981575828339186107e-02
8.388451443569550747e+02,1.299362087926428100e-01
8.378189444250260749e+02,1.967397560724461203e-01
8.367952522255191070e+02,2.772684937433286811e-01
8.357740585774056399e+02,3.572906305014465489e-01
8.347553543444190609e+02,4.268014898306421445e-01
8.337391304347825098e+02,4.808808002163413309e-01
8.327253778009377356e+02,5.178900016834229181e-01
8.317140874392781598e+02,5.373558343911247759e-01
8.307052503898801206e+02,5.383908866883151401e-01
8.296988577362407113e+02,5.185621222028210520e-01
8.286949006050126627e+02,4.730013797778201412e-01
8.276933701657455913e+02,3.942677262441248165e-01
8.266942576306257706e+02,2.764463986117670635e-01
8.256975542542195399e+02,1.351694924394314101e-01
8.247032513332184180e+02,5.104698401392918083e-02
8.237113402061853549e+02,1.381632327129606042e-01
8.227218122533033693e+02,3.568839011880233225e-01
8.217346588961258931e+02,5.647241409242983456e-01
8.207498715973291610e+02,7.074154352363044573e-01
8.197674418604648281e+02,7.963662684564237759e-01
8.187873612297180443e+02,8.515173570927797586e-01
8.178096212896618908e+02,8.865728606251668253e-01
8.168342136650194334e+02,9.095559750556390100e-01
8.158611300204217969e+02,9.250421133598912826e-01
8.148903620601731745e+02,9.356746847400629896e-01
8.139219015280133362e+02,9.430131076294328007e-01
8.129557402068846841e+02,9.479880528683566343e-01
8.119918699186989670e+02,9.511432553670831069e-01
8.110302825241074061e+02,9.527590852157394874e-01
8.100709699222709332e+02,9.529029490183666962e-01
8.091139240506327042e+02,9.514203633698656848e-01
8.081591368846931118e+02,9.478517396157541963e-01
8.072066004377837771e+02,9.412109043327914204e-01
8.062563067608474512e+02,9.294381301233783921e-01
8.053082479422137112e+02,9.079457858438998441e-01
8.043624161073823871e+02,8.652238097189206556e-01
8.034188034188032361e+02,7.675692701617713443e-01
8.024774020756609616e+02,5.096303685040270981e-01
8.015382043136597758e+02,1.145585346231250412e-01
8.006012024048093281e+02,4.821979372771549310e-01
7.996663886572140427e+02,7.814156889555934349e-01
7.987337554148614345e+02,8.879834629211433850e-01
7.978032950574137203e+02,9.316168999120214567e-01
7.968749999999997726e+02,9.527312190646293200e-01
7.959488626930100281e+02,9.642713113551735216e-01
7.950248756218902599e+02,9.711539904012984614e-01
7.941030313069403519e+02,9.755374995703619545e-01
7.931833223031101170e+02,9.784802192329618009e-01
7.922657411998014823e+02,9.805466486561073003e-01
7.913502806206666946e+02,9.820561985563540652e-01
7.904369332234127796e+02,9.831947642178126001e-01
7.895256916996045220e+02,9.840693801503188620e-01
7.886165487744692655e+02,9.847356837100187388e-01
7.877094972067036451e+02,9.852120793458539749e-01
7.868045297882814566e+02,9.854909047659339283e-01
7.859016393442622075e+02,9.855401949550294249e-01
7.850008187326016014e+02,9.853025475647810838e-01
7.841020608439645230e+02,9.846893981442852439e-01
7.832053586015354085e+02,9.835641136341098933e-01
7.823107049608353236e+02,9.817085396443827605e-01
7.814180929095352894e+02,9.787330362462871580e-01
7.805275154672742701e+02,9.738763741442240107e-01
7.796389656854770465e+02,9.654678932282305670e-01
7.787524366471733401e+02,9.492437667363020637e-01
7.778679214668179611e+02,9.117962245520858655e-01
7.769854132901131152e+02,7.967067177778461851e-01
7.761049052938318482e+02,3.783479984276924002e-01
7.752263906856401263e+02,5.566320023248000348e-01
7.743498627039249413e+02,8.539217834208089331e-01
7.734753146176183236e+02,9.303523995426861148e-01
7.726027397260272664e+02,9.570594394544874595e-01
7.717321313586603537e+02,9.691016433425039267e-01
7.708634828750600718e+02,9.755391316517806333e-01
7.699967876646319382e+02,9.794295073879855096e-01
7.691320391464781778e+02,9.820024605176949084e-01
7.682692307692306031e+02,9.838237675801480009e-01
7.674083560108849724e+02,9.851587059727525686e-01
7.665494083786375086e+02,9.861449272283884238e-01
7.656923814087203937e+02,9.868528072999923628e-01
7.648372686662411297e+02,9.873090422589462234e-01
7.639840637450197391e+02,9.875341855818420278e-01
7.631327602674306263e+02,9.875302331652375809e-01
7.622833518842420517e+02,9.873036317842310838e-01
7.614358322744598127e+02,9.868488319169029799e-01
7.605901951451686500e+02,9.861587668229520043e-01
7.597464342313785437e+02,9.852124045175276734e-01
7.589045432958680522e+02,9.839601837061925371e-01
7.580645161290319720e+02,9.823075859656854592e-01
7.572263465487282019e+02,9.800682419798848466e-01
7.563900284001260843e+02,9.768871856157654854e-01
7.555555555555553156e+02,9.720495317319994832e-01
7.547229219143573573e+02,9.640038594812666561e-01
