wavelength_nm,R
7.538921214027361657e+02,9.489573952564221981e-01
7.530631479736094889e+02,9.158823906514975688e-01
7.522359956064645985e+02,8.242297509617215745e-01
7.514106583072098147e+02,5.152027482998658980e-01
7.505871301080318290e+02,3.920233351594683002e-01
7.497654050672504127e+02,7.679208262572350119e-01
7.489454772691765356e+02,8.919809141085019988e-01
7.481273408239698028e+02,9.351427824468964145e-01
7.473109898674979377e+02,9.541606070433693576e-01
7.464964185611956964e+02,9.639556448614147177e-01
7.456836210919269661e+02,9.694988493458024381e-01
7.448725916718457256e+02,9.727895481661622545e-01
7.440633245382582572e+02,9.747487019273425313e-01
7.432558139534883139e+02,9.758440035359078335e-01
