wavelength,n,k
1666,2.55232917,2.43851976e-005
1668,2.55225097,2.42992294e-005
1670,2.55217305,2.42138029e-005
1672,2.55209543,2.41289137e-005
1674,2.5520181,2.40445572e-005
1676,2.55194105,2.39607292e-005
1678,2.55186429,2.38774252e-005
1680,2.55178782,2.3794641e-005
1682,2.55171163,2.37123723e-005
1684,2.55163571,2.36306149e-005
1686,2.55156008,2.35493646e-005
1688,2.55148473,2.34686174e-005
1690,2.55140966,2.3388369e-005
1692,2.55133486,2.33086155e-005
1694,2.55126034,2.32293529e-005
1696,2.55118609,2.31505771e-005
1698,2.55111212,2.30722843e-005
1700,2.55103841,2.29944706e-005
1702,2.55096497,2.29171321e-005
1704,2.55089181,2.2840265e-005
1706,2.5508189,2.27638656e-005
1708,2.55074627,2.268793e-005
1710,2.5506739,2.26124547e-005
1712,2.55060179,2.25374359e-005
1714,2.55052994,2.246287e-005
1716,2.55045835,2.23887533e-005
1718,2.55038703,2.23150825e-005
1720,2.55031596,2.22418538e-005
1722,2.55024514,2.21690639e-005
1724,2.55017459,2.20967093e-005
1726,2.55010428,2.20247865e-005
1728,2.55003423,2.19532922e-005
1730,2.54996443,2.18822229e-005
1732,2.54989489,2.18115755e-005
1734,2.54982559,2.17413465e-005
1736,2.54975654,2.16715328e-005
1738,2.54968773,2.16021311e-005
1740,2.54961917,2.15331381e-005
1742,2.54955086,2.14645508e-005
1744,2.54948279,2.13963659e-005
1746,2.54941496,2.13285805e-005
1748,2.54934737,2.12611913e-005
1750,2.54928002,2.11941954e-005
1752,2.54921291,2.11275897e-005
1754,2.54914604,2.10613712e-005
1756,2.54907941,2.0995537e-005
1758,2.54901301,2.09300841e-005
1760,2.54894684,2.08650096e-005
1762,2.54888091,2.08003107e-005
1764,2.54881521,2.07359844e-005
1766,2.54874974,2.0672028e-005
1768,2.5486845,2.06084386e-005
1770,2.54861949,2.05452135e-005
1772,2.5485547,2.04823499e-005
1774,2.54849014,2.04198451e-005
1776,2.54842581,2.03576964e-005
1778,2.54836171,2.02959012e-005
1780,2.54829782,2.02344567e-005
1782,2.54823416,2.01733603e-005
1784,2.54817072,2.01126095e-005
1786,2.5481075,2.00522016e-005
1788,2.5480445,1.99921342e-005
1790,2.54798172,1.99324046e-005
1792,2.54791915,1.98730104e-005
1794,2.5478568,1.98139491e-005
1796,2.54779467,1.97552182e-005
1798,2.54773275,1.96968154e-005
1800,2.54767104,1.9638738e-005
1802,2.54760955,1.95809839e-005
1804,2.54754826,1.95235505e-005
1806,2.54748719,1.94664356e-005
1808,2.54742633,1.94096368e-005
1810,2.54736567,1.93531519e-005
1812,2.54730522,1.92969784e-005
1814,2.54724498,1.92411142e-005
1816,2.54718495,1.9185557e-005
1818,2.54712511,1.91303045e-005
1820,2.54706549,1.90753546e-005
1822,2.54700606,1.90207051e-005
1824,2.54694684,1.89663538e-005
1826,2.54688781,1.89122986e-005
1828,2.54682899,1.88585372e-005
1830,2.54677037,1.88050677e-005
1832,2.54671194,1.87518879e-005
1834,2.54665371,1.86989958e-005
1836,2.54659568,1.86463892e-005
1838,2.54653784,1.85940662e-005
1840,2.5464802,1.85420247e-005
1842,2.54642275,1.84902627e-005
1844,2.5463655,1.84387783e-005
1846,2.54630843,1.83875695e-005
1848,2.54625156,1.83366342e-005
1850,2.54619488,1.82859707e-005
1852,2.54613838,1.8235577e-005
1854,2.54608208,1.81854511e-005
1856,2.54602596,1.81355912e-005
1858,2.54597003,1.80859954e-005
1860,2.54591428,1.80366619e-005
1862,2.54585872,1.79875888e-005
1864,2.54580335,1.79387744e-005
1866,2.54574816,1.78902167e-005
1868,2.54569315,1.78419141e-005
1870,2.54563832,1.77938647e-005
1872,2.54558367,1.77460669e-005
1874,2.54552921,1.76985188e-005
1876,2.54547492,1.76512187e-005
1878,2.54542081,1.76041649e-005
1880,2.54536688,1.75573558e-005
1882,2.54531313,1.75107895e-005
1884,2.54525955,1.74644646e-005
1886,2.54520615,1.74183792e-005
1888,2.54515292,1.73725318e-005
1890,2.54509987,1.73269208e-005
1892,2.54504699,1.72815444e-005
1894,2.54499429,1.72364012e-005
1896,2.54494175,1.71914896e-005
1898,2.54488939,1.71468078e-005
1900,2.54483719,1.71023546e-005
1902,2.54478517,1.70581281e-005
1904,2.54473331,1.7014127e-005
1906,2.54468162,1.69703497e-005
1908,2.5446301,1.69267947e-005
1910,2.54457875,1.68834604e-005
1912,2.54452756,1.68403455e-005
1914,2.54447654,1.67974485e-005
1916,2.54442568,1.67547678e-005
1918,2.54437498,1.67123021e-005
1920,2.54432445,1.66700498e-005
1922,2.54427408,1.66280097e-005
1924,2.54422387,1.65861802e-005
1926,2.54417383,1.654456e-005
1928,2.54412394,1.65031477e-005
1930,2.54407421,1.64619418e-005
1932,2.54402464,1.64209412e-005
1934,2.54397523,1.63801443e-005
1936,2.54392598,1.63395498e-005
1938,2.54387688,1.62991564e-005
1940,2.54382794,1.62589629e-005
1942,2.54377916,1.62189678e-005
1944,2.54373053,1.61791699e-005
1946,2.54368205,1.61395679e-005
1948,2.54363373,1.61001604e-005
1950,2.54358556,1.60609464e-005
1952,2.54353754,1.60219244e-005
1954,2.54348967,1.59830932e-005
1956,2.54344196,1.59444516e-005
1958,2.54339439,1.59059984e-005
1960,2.54334698,1.58677324e-005
1962,2.54329971,1.58296522e-005
1964,2.54325259,1.57917569e-005
1966,2.54320562,1.5754045e-005
1968,2.5431588,1.57165156e-005
1970,2.54311212,1.56791673e-005
1972,2.54306559,1.56419991e-005
1974,2.5430192,1.56050097e-005
1976,2.54297296,1.55681981e-005
1978,2.54292686,1.55315631e-005
1980,2.54288091,1.54951036e-005
1982,2.5428351,1.54588185e-005
1984,2.54278943,1.54227066e-005
1986,2.5427439,1.53867668e-005
1988,2.54269852,1.53509982e-005
1990,2.54265327,1.53153995e-005
1992,2.54260817,1.52799698e-005
1994,2.5425632,1.52447079e-005
1996,2.54251837,1.52096128e-005
1998,2.54247368,1.51746834e-005
2000,2.54242913,1.51399188e-005
